scenario_file,run_id,algorithm_version,code_version,config_hash,final_time_s,global_coverage,priority_coverage,redundant_coverage_rate,total_distance_m,effective_search_distance_m,path_efficiency,min_battery,event_count,conflict_count,no_fly_violations,map_update_count,target_found_count,confirm_done_count,time_to_95_coverage_s,time_to_priority_coverage_s,coverage_goal_met,priority_goal_met,turn_rate,replan_count,coverage_gain_per_meter,post_95_extra_distance_m,per_uav_workload_balance,target_response_time_s,target_confirm_duration_s,confirm_success_rate,search_resume_delay_s,coverage_gap_at_confirm_done,interrupted_task_resume_rate,supplemental_task_count,ignored_uncovered_cells,final_uncovered_cells,final_priority_uncovered_cells,post_95_extra_time_s
config\scenarios\area_search_1uav.yaml,area_search_1uav,segment_sweep_v1,328ae63,445862f40012,737.0,0.9508264462809918,1.0,0.2299000434593655,7350.416305603426,7350.416305603426,1.0,0.591643538577605,1,0,0,1,0,0,736.0,614.0,True,True,0.005986055506333373,11,0.00012891076074617158,0.0,1.0,,,0.0,,0.0,1.0,0,119,119,0,1.0
config\scenarios\area_search_2uav.yaml,area_search_2uav,segment_sweep_v1,328ae63,bbf358b21c39,414.0,0.9504409911801764,1.0,0.3398144056562086,7825.685424949242,6994.558441227158,0.8937949919284579,0.7708415103476551,0,0,0,0,0,0,365.0,296.0,True,True,0.005622510695321667,10,0.00012032443376456778,831.1269837220834,0.9486017778473377,,,0.0,,0.0,1.0,0,118,118,0,49.0
config\scenarios\area_search_3uav.yaml,area_search_3uav,segment_sweep_v1,328ae63,e164d000e347,344.0,0.9690091663029244,0.9875,0.45135135135135135,9544.924240491759,7949.533188057744,0.8328545086124414,0.8170016835446352,1,0,0,1,0,0,266.0,267.0,True,True,0.009952933895167885,12,0.00010003129755329103,1675.3910524340145,0.9708424301055627,,,0.0,,0.0,1.0,2,71,71,1,78.0
config\scenarios\area_search_4uav.yaml,area_search_4uav,segment_sweep_v1,328ae63,704badc6d2b6,295.0,0.9535095715587967,1.0,0.4627151051625239,10715.878784786815,8395.92929112564,0.7835035707053,0.8400095799681748,1,0,0,1,0,0,230.0,176.0,True,True,0.01623758568891479,14,8.734086171589336e-05,2319.9494936611754,0.9354506538115461,,,0.0,,0.0,1.0,5,102,102,0,65.0
config\scenarios\area_search_5uav.yaml,area_search_5uav,segment_sweep_v1,328ae63,ce1912e5592e,250.0,0.9676390154968095,1.0,0.5332077249175695,10830.437226013973,8484.507934888328,0.7833947750981943,0.8659464085798487,1,0,0,1,0,0,181.0,142.0,True,True,0.013388194490589896,14,8.735341458850256e-05,2345.9292911256452,0.9237094516544524,,,0.0,,0.0,1.0,4,71,71,0,69.0
config\scenarios\area_search_2uav_target_confirm.yaml,area_search_2uav_target_confirm,segment_sweep_v1,328ae63,9386ded0a6c0,366.0,0.9500209995800084,1.0,0.28205128205128205,7291.8376618407365,6970.416305603427,0.9559203905595217,0.7973897306612113,2,0,0,0,1,1,365.0,288.0,True,True,0.006719842414543077,10,0.0001290759914886648,0.0,0.9997076990384158,0.0,32.0,1.0,0.0,0.8403821923561529,1.0,0,119,119,0,1.0
config\scenarios\stress_5uav_balance.yaml,stress_5uav_balance,segment_sweep_v1,328ae63,074eafa02b31,229.0,0.9610503282275711,1.0,0.36020036429872493,10210.193359837573,8400.243866176399,0.8227311246836204,0.8802560526425596,0,0,0,0,0,0,171.0,149.0,True,True,0.008031189724824613,9,9.168337952393577e-05,1809.9494936611736,0.9712063907161276,,,0.0,,0.0,1.0,0,89,89,0,58.0
config\scenarios\stress_fragmented_area_4uav_reachable.yaml,stress_fragmented_area_4uav_reachable,segment_sweep_v1,328ae63,879d9fa5a354,296.0,0.9547187797902764,1.0,0.5122316525212182,11122.569260369939,8997.350647362951,0.8089273653184424,0.836439353928623,0,0,0,0,0,0,234.0,222.0,True,True,0.015733774805388755,12,8.416487462286127e-05,2125.2186130069877,0.9522454324107047,,,0.0,,0.0,1.0,0,95,95,0,62.0
config\scenarios\stress_obstacle_maze_3uav.yaml,stress_obstacle_maze_3uav,segment_sweep_v1,328ae63,d2f680a50d7e,329.0,0.95798755186722,1.0,0.46345425013535463,8637.645019878179,7199.533188057743,0.8335064906567881,0.8288984688570642,0,0,0,0,0,0,256.0,229.0,True,True,0.01192454653588585,9,0.00010910698271615331,1438.1118318204353,0.9211621940594595,,,0.0,,0.0,1.0,0,81,81,0,73.0
